"Are you sure? This skill level
isn't even remotely fair.

Press Y or N.",NIGHTMARE,,,,"Jsi si jist? Tato úroveň obtížnosti není ani trochu fér.

Stiskni Y nebo N.","Bist du sicher? Dieser Schwierigkeitsgrad ist 
nicht einmal annähernd fair.

Drücke Y oder N.","Είσαι σίγουρος ? Αυτό το επίπεδο δυσκολίας δεν είναι καθόλου δίκαιη.

Πάτα Y ή N","Ĉu vi certas? Ĉi tiu malfacileco
ne estas eĉ iomete justa.

Premu Y aŭ N.","¿Estás segur@[ao_esp]? Este nivel de dificultad
no es ni remotamente justo.

Presiona Y ó N.",,"Oletko varma? Tämä vaikeustaso ei ole edes vähääkään reilu.

Paina Y tai N.","Vous êtes sur? Ce niveau de
difficulté est vraiment impitoyable!

Appuyez sur Y ou N.","Biztos vagy benne? Ez a nehézségi szint 
egyáltalán nem fer.

Nyomj Y-t vagy N-t.","Sei sicuro? Questo livello di difficoltà
è dannatamente difficile.

Premi Y oppure N.","本気か? このスキルは
マトモな状態ではないぞ。

Y か N で答えろ","진심입니까? 이 난이도는 매우 어렵습니다.

Y키 또는 N키를 누르시오.","Weet je het zeker? Dit moeilijkheidsniveau
is niet eens eerlijk.

Druk op Y of N.","Czy jesteś pewien? Ten poziom umiejętności
nie jest nawet bliski sprawiedliwego.

Wciśnij Y lub N.","Tem certeza? Este nível de dificuldade
não é nem um pouco justo.

Aperte Y ou N.","Tem a certeza? Este nível de dificuldade
está longe de ser um pouco justo.

Carrega Y ou N.","Ești sigur? Acest nivel de dificultate nu e nici pe
departe cinstit.

Apasă Y sau N.","Уверены? Этот уровень сложности
даже не близок к честному.

Нажмите Y или N.","Сигурни сте? Овај ниво тежине
није нимали фер.

Притисните Y или N."
"This is the shareware version of Doom.

You need to order the entire trilogy.

Press a key.",SWSTRING,,,,"Toto je shareware verze Dooma.

Musíš si objednat celou trilogii.

Stiskni libovolnou klávesu.","Dies ist die Shareware-Version von Doom.

Hierfür musst du die komplette Trilogie bestellen.

Drücke eine Taste","Αυτή είναι η Shareware έκδοση του Doom.

Πρέπει να παραγγείλετε την ολόκληρη τριλογία.

Πάτα οποιδήποτε πλήκτρο.","Ĉi tiu estas la propagaĵa versio de Doom.

Vi bezonas mendi la tutan trilogion.

Premu klavon.","Esta es la versión shareware de Doom.

Necesitas adquirir la trilogía completa.

Presiona una tecla.",,"Tämä on Doomin shareware-versio.

Sinun on tilattava koko trilogia.

Paina jotain näppäintä.","Votre version de DOOM est une version SHAREWARE.

Pensez à commander la version complète!

Appuyez sur une touche.","Ez a Shareware verziója a Doom-nak.

Meg kell rendelned az egész trilógiát.

Nyomj meg egy gombot.","Questa è la versione shareware di doom.

Devi ordinare la trilogia completa.

Premi un tasto.","これは体験版だ。
わかったら本体を買え。

キーを押せば戻るぞ。","이 게임은 셰어웨어 버전입니다.

전 3편을 플레이하기 위해서는 구매가 필요합니다.

키를 누르시오.","Dit is de shareware versie van Doom.

Je moet de hele trilogie bestellen.

Druk op een toets.","To jest wersja demonstracyjna Doom.

Musisz kupić całą trylogię.

Wciśnij dowolny klawisz.","Esta é a versão shareware de DOOM.

Você precisa obter a trilogia completa.

Aperte uma tecla.","Esta é a versão shareware de Doom.

Precisas de obter a trilogia completa.

Carrega numa tecla qualquer.","Aceasta este versiunea gratuită a jocului Doom.

Trebuie să comanzi întreaga trilogie.

Apasă orice tastă.","Это демонстрационная версия Doom.

Вам необходимо приобрести всю трилогию.

Нажмите любую клавишу.","Ово је демонстрациона верзија Doom-а.

Потребно је да наручите целу трилогију.

Притисните било који тастер."
"You can't end a netgame!

Press a key.",NETEND,,,,"Nemůžeš ukončit síťovou hru!

Stiskni libovolnou klávesu.","Du kannst ein Netzwerkspiel nicht beenden.

Drücke eine Taste.","Δέν μπορείς να τελειώσεις ένα δικτυακό παιχνίδι!

Πάτα οποιδήποτε πλήκτρο.","Vi ne povas fini retludon!

Premu klavon.","¡No puedes terminar una partida online!

Presiona una tecla.",,"Et voi päättää verkkopeliä!

Paina jotain näppäintä.","Vous ne pouvez pas mettre fin à une partie en réseau!

Appuyez sur une touche.","Nem tudsz befejezni egy netjátékot!

Nyomj meg egy gombot.","Non puoi terminare un netgame!

Premi un tasto.","オンラインプレイでは勝手に終了できない!

何かキーを押せ","멀티플레이를 종료할 수 없습니다!

키를 누르시오.","Je kunt een netwerkspel niet beëindigen!

Druk op een toets.","Nie możesz zakończyć gry sieciowej!

Wciśnij dowolny klawisz.","Impossível encerrar um jogo em rede!

Aperte uma tecla.","Não podes terminar um jogo em rede!

Carrega numa tecla qualquer.","Nu poți încheia brusc o sesiune în rețea!

Apasă orice tastă.","Невозможно закончить сетевую игру!

Нажмите любую клавишу.","Не можете да завршите мрежну игру!

Притисните било који тастер."
"Are you sure you want to end the game?

Press Y or N.",ENDGAME,,,,"Opravdu si přeješ ukončit hru?

Stiskni Y nebo N.","Willst du das Spiel wirklich beenden?

Drücke Y oder N.","Είσαι σίγουρος ότι θέλεις να τελειώσεις το παιχνίδι?

Πάτα Y ή N","Ĉu vi certas, ke vi volas fini la ludon?

Premu Y aŭ N.","¿Estás segur@[ao_esp] que deseas cerrar el juego?

Presiona Y ó N.",,"Haluatko varmasti päättää pelin?

Paina Y tai N.","Voulez vous mettre fin à votre partie?

Appuyez sur Y ou N.","Biztos vagy benne hogy beakarod fejezni a játékot?

Nyomj Y-t vagy N-t.","Sei sicuro di voler terminare la partita?

Premi Y oppure N.","本当にゲームを中断するのか?

Y か N で答えろ","게임을 정말로 종료하시겠습니까?

Y키 또는 N키를 누르시오.","Weet je zeker dat je het spel wilt beëindigen?

Druk op Y of N.","Czy jesteś pewien że chcesz zakończyć grę?

Wciśnij Y lub N","Deseja mesmo encerrar este jogo?

Aperte Y ou N.","Tem certeza que deseja fechar este jogo?

Carrega Y ou N.","Ești sigur că dorești să închei jocul?

Apasă Y sau N.","Вы действительно хотите закончить игру?

Нажмите Y или N.","Желите ли сигурно да завршите игру?

Притисните Y или N."
Are you sure you want to quit?,RAVENQUITMSG,,,,Přeješ si odejít?,"Bist du dir sicher, dass du gehen willst?","Είσαι σίγουρος ότι θέλεις να φύγεις?
","Ĉu vi certas, ke vi volas forlasi?",¿Estás segur@[ao_esp] que quieres salir?,,Haluatko varmasti lopettaa?,Êtes vous sûr de vouloir quitter ?,Biztos vagy benne hogy ki akarsz lépni?,Sei sicuro di voler abbandonare?,本当に終了するのか?,정말 종료하시겠습니까?,Weet je zeker dat je wilt stoppen?,Czy jesteś pewien że chcesz wyjść?,Deseja mesmo sair?,Tens a certeza que queres sair?,Ești sigur că vrei să ieși din joc?,Вы действительно желаете выйти?,Желите ли сигурно да изађете?
Only available in the registered version,SWSTRING,,heretic,,Dostupné pouze v registrované verzi,Nur in der registrierten Version verfügbar,Μόνο διαθέσιμο στήν εχγραμμένη έκδοση.,Sole havebla en la registrita versio,Sólo disponible en la versión registrada,,Käytettävissä vain rekisteröidyssä versiossa,Disponible uniquement dans la version enregistrée,Egyedül a teljes verzióban érhető el,Disponibile solamente nella versione registrata,製品版でのみ可能だ。,정품 버전에서만 가능합니다,Alleen beschikbaar in de geregistreerde versie,Dostępne tylko w zarejestrowanej wersji,Disponível somente na versão registrada,Apenas disponível na versão registrada,Disponibil doar în versiunea înregistrată.,Эпизод недоступен в демоверсии,Само могуће у регистрованој верзији
(Press Y to quit),DOSY,,,,(Stiskni Y pro odchod),(Drücke Y zum Verlassen.),(Πάτα Y για να φύγεις),(Premu Y por forlasi),(Presiona Y para salir),,(Paina Y lopettaaksesi),(Appuyez sur Y pour revenir à votre OS.),(Nyomj Y-t a kilépéshez.),(Premi Y per uscire),(Y で終了),(Y을 누르시면 종료합니다),(Druk op Y om te stoppen),"(Wciśnij Y, aby wyjść)",(Aperte Y para sair),(Carrega Y para sair),(Apasă Y pentru a ieși),"(Нажмите Y, чтобы выйти)",(Притисните Y да завршите)
,,Quit messages,,,,,,,,,,,,,,,,,,,,,
"Please don't leave, there's more
demons to toast!",QUITMSG1,,,,"Nenechávej mě tu, je tu
víc démonů k vymletí!","Bitte gehe nicht, es gibt noch mehr
Dämonen zu erlegen.","Παρακαλώ μη φύγεις, υπάρχουνε περισσότεροi δαίμονες να ψήσεις!","Bonvolu ne foriri, estas pli da
demonoj por rosti!","¡Por favor no te vayas, hay más demonios para freír!",,Älä lähde; demoneita on vielä kärvennettävänä!,"Ne partez pas, il ya encore
des démons a buter!","Kérlek ne lépj le, sok démon vár még arra, hogy felaprítsd!","Per favore non uscire, ci sono altri
demoni da ammazzare!","離れないでくれ!
まだ獲物が残っているんだ!","부디 나가지 말아줘, 아직 죽여야 할 악마들이 남아있단 말이야!","Ga alsjeblieft niet weg, er zijn meer demonen te roosteren!","Proszę, nie odchodź, jest więcej
demonów do stostowania!","Por favor, não vá embora. Tem mais
demônios para torrar!","Por favor não te vás embora, há mais
demônios para matar!","Te rog nu ieși, mai sunt demoni care trebuie prăjiți!","Пожалуйста, не уходи!
Тут ещё много демонов!","Молим те, не одлази!
Има још демона да се побије!"
"Let's beat it -- this is turning
into a bloodbath!",QUITMSG2,,,,"Doraž to -- začíná
tu téct krev!",Lass es uns beenden - das wird zu einem Blutbad,Πάεμε να φύγουμε -- έχει γίνει σφαγίο εδώ!,"Ni forlasu -- ĉi tio fariĝas
sangoverŝadon!","Aceptémoslo, ¡esto se está
convirtiendo en un baño de sangre!",,Häivytään -- tämä on muuttumassa verilöylyksi!,"Fichons le camp, ça dégénère
en bain de sang!","Tűnjünk innen, ebből vérfürdő lesz!","Ammettiamolo - tutto ciò si sta
trasformando in un bagno di sangue!","まだ物足りないだろう?
早く戻って皆殺しにしろ!",그냥 나가자고- 유혈사태가 곧 시작될 것 같으니!,Laten we ervoor gaan - dit wordt een bloedbad!,Zmywajmy się stąd -- robi się tu rzeźnia!,"Vamos embora, isso tá virando 
um banho de sangue!","Falando a sério -- Isto está se a tornar
num banho de sangue!","S-o lăsăm baltă -- situația degenerează într-o
baie de sânge!","Да, давай, убегай, если эта
кровавая баня тебе не по зубам!","Хајде, бриши одавде
ако ти је ово одвећ крваво!"
"I wouldn't leave if I were you.
DOS is much worse.",QUITMSG3,,,,"Být tebou, neodcházel bych.
DOS je mnohem horší.","Ich würde nicht gehen, wenn ich du wäre.
DOS ist viel übler.","Δέν θα έφευγα αμμα είμουνα εσύ.
Το DOS είναι πολύ χυρότερο.","Mi ne forirus, se mi estus vi.
DOS estas multe pli malbona.","No me iría si fuera tú.
DOS es mucho peor.",,Sinuna en lähtisi. DOS on paljon pahempi.,"Je ne quitterais pas si j'étais vous.
Votre OS est bien pire.","A helyedben nem lépnék ki.
A DOS sokkal rosszabb.","Non uscirei se fossi in te.
Il DOS è molto peggio.","俺がお前だったらここは離れない。
デスクトップなぞ最悪だ。",만약 내가 너였다면 나가지 않았을 거야. DOS는 정말 최악이거든.,Ik zou niet weggaan als ik jou was. DOS is veel erger.,"Na twoim miejscu nie odchodziłbym.
DOS jest o wiele gorszy.","Eu não sairia se fosse você.
O DOS é bem pior.","Se fosse a ti não saia daqui.
O sistema operativo é bem pior.","Eu n-aș pleca în locul tău - sistemul DOS e mult 
mai rău.","На твоём месте я бы не уходил.
DOS намного скучнее.","Да сам на твом месту, не бих одлазио.
DOS је много досаднији."
"You're trying to say you like DOS
better than me, right?",QUITMSG4,,,,"Chceš mi říct, že máš
radši DOS než mě?","Willst du sagen, dass DOS
besser ist als ich?","Προσπαθείς να πείς οτι το DOS είναι καλήτερο απο εμένα, σωστά?","Vi provas diri, ke vi ŝatas DOS
pli ol mi, ĉu ne?","¿Estás tratando de decir que DOS es mejor que yo, cierto?",,"Yritätkö sanoa pitäväsi DOSista enemmän kuin minusta, niinkö?","Vous essayez de dire que vous aimez DOS
mieux que moi, pas vrai?","Azt akarod mondani, hogy
a DOS jobb nálam?","Stai cercando di dire che il DOS
ti piace più di me, vero?","貴方はこちらよりも
デスクトップの方が好みらしいな?","나보다 DOS가 훨씬 좋다 이 말씀이지, 그런 거지?",Probeer je te zeggen dat DOS jou beter bevalt dan mij?,"Próbujesz powiedzieć, że wolisz DOS
ode mnie, prawda?","Tá querendo dizer que você gosta mais
do DOS do que eu, é isso?","Estás a tentar dizer que gostas mais do 
do sistema operativo do que eu, é isso?","Încerci să spui că-ți place de sistemul DOS mai mult
decât de mine, așa-i?","Ты хочешь сказать, что DOS
тебе нравится больше, чем я, а?","Више ти допада DOS
него ја, је ли?"
"Don't leave yet -- there's a
demon around that corner!",QUITMSG5,,,,"Ještě nechoď -- tam
za rohem je démon!","Bitte gehe noch nicht - hinter
der Ecke da lauert ein Dämon.","Μη φύγεις ακόμα, είναι ένας δαίμονας πίσω απο αυτή τι γονία!","Ne jam foriru -- estas
demono ĉirkaŭ tiu angulo!","No te vayas aún-- ¡hay un
demonio cerca de esa esquina!",,Älä lähde vielä -- tuon kulman takana on demoni!,"Ne partez pas encore! Il y a 
un démon dans le coin!","Még ne menj -- maradt egy
démon annál a saroknál!","Non abbandonare ora - c'è un
demone dietro l'angolo!","待ってくれ!まだあそこの角に
デーモンが残っているんだ!",나가지 마- 저 구석에 악마가 숨어있다고!,Ga nog niet weg - er is een demoon hier om de hoek!,"Nie odchodź jeszcze -- demon czai
się w tamtym zaułku!","Não vá embora ainda, tem um
demônio naquele canto!","Não te vás embora agora -- Está um
demônio ao virar da esquina!",Nu pleca încă -- e un demon după colțul acela!,"Не уходи! За углом
притаился ещё один монстр!","Немој да одеш --
иза угла има још један демон!"
"Ya know, next time you come in here
I'm gonna toast ya.",QUITMSG6,,,,"Víš, až se vrátíš,
rozmáčknu tě.","Nur damit du es weißt, wenn du
wiederkommst, dann bist du erledigt.","Ξέρεις, την επόμενη φορά που θα έρθεις εδώ, θα σε ψήσω.","Sciu, ke kiam vi sekvafoje venos ĉi tien,
mi rostos vin.","Ya lo sabes, la próxima vez 
que vengas voy a freírte.",,"Tiiäthän, että käristän sut, kun seuraavalla kerralla tuut tänne.","Vous savez, la prochaine fois que vous revenez,
je vous grille.","Tudod, ha legközelebb idejössz,
szét foglak kenni.","Sai, la prossima volta che verrai qui
ti farò a pezzi.","わかったよ。
今度戻ってきたら一杯奢るよ。","있지, 만약 네가 다시 돌아온다면 너를 아예 구워버릴 거다.","Weet je, de volgende keer dat je hier binnenkomt, ga ik je roosteren.","Wiesz, jeżeli jescze raz tu przyjdziesz,
stostuje cię.","Na próxima vez que você vier 
aqui, eu vou te torrar.","Sabes, da próxima vez que vieres para
aqui vou te fazer explodir em bocadinhos.","Să știi, data viitoare când treci pe-aici o să te prăjesc!","Знаешь, по возвращении тебя
будут ждать большие неприятности.","Знаш, по повратку ће те
чекати велике невоље."
Go ahead and leave. see if I care.,QUITMSG7,,,,"Tak do toho, odejdi,
jako kdyby mě to zajímalo.","Dann geh doch! Interessiert
mich nicht.","Φύγε, δες αν νιάζομαι.",Ja foriru. Mi fajfas pri tio.,"Anda, vete. A ver si me importa.",,"Ole hyvä vain ja lähde. Arvaa, välitänkö.","Allez y, partez, allez voir si j'y suis.","Menj nyugodtan, úgysem érdekel.",Continua ed esci. sai che mi frega.,置いて行っちゃうんだ。勝手にしろ。,그럼 나가버려. 난 신경 안 써.,"Ga maar, eens kijken of het me interesseert.","No dalej, odejdź. Zobaczymy czy
mnie to obchodzi.","Vai, pode ir embora. Tô nem aí.",Vai te em embora. Vê lá se eu quero saber.,"Hai, pleacă, vezi dacă-mi pasă.","Давай, уходи. Мне совершенно всё равно.","Хајде, одлази. Уопште ме није брига."
"You want to quit?
Then, thou hast lost an eighth!",QUITMSG8,More info here.,,,"Chceš odejít?
Nuže, kletba nať uvalena byla!","Du willst gehen?
Hast du den Verstand verloren?","Θέλεις να φύγεις ?
Τότε, έχασες ένα έκτο!","Vi volas forlasi?
Tiuokaze, ci perdis okonon!","¿Quieres salir? Entonces, ¡habrás perdido una octava!",,"Haluat siis lopettaa?
Oletko menettänyt järkesi?","Vous voulez vraiment quitter?
Vous avez vraiment les fils qui se croisent!","Ki akarsz lépni? 
Akkor elment az eszed!","Vuoi uscire?
Allora hai perso il senno!","終了したい?ならば、
汝は8分の1を失うぞ!","나가시겠다? 그럼, 당신은 8번째 조각을 잃었다!",Wil je stoppen? Dan ben je wel helemaal geschift!,Chcesz odejść? Wiele stracisz!,"Você quer sair?
Só pode ter perdido a cabeça!","Queres sair?
Só podes ter perdido a cabeça!","Vrei să ieși?
Atunci, ai pierdut o virtute!","Всерьёз задумываешь выйти?
Полагаю, это не очень-то разумно!","Озбиљно желиш да изађеш?
Није то нимало паметно!"
"Don't go now, there's a 
dimensional shambler waiting
at the DOS prompt!",QUITMSG9,A “dimensional shambler” is a creature appearing in the works of H. P. Lovecraft.,,,"Teď neodcházej, na příkazové řádce
číhá dimenzionální Jožin!","Bitte geh noch nicht! 
An der Eingabeaufforderung wartet
ein Dimensionszerstörer auf dich!","Μη πας τώρα, υπάρχει ένας διαστατικός τρίκλιστης ο οπίος περιμένει στη DOS γραμμή εντολών!","Ne nun iru, estas
dimensia iraĉanto atendanta
ĉe la DOS-invito!","No te vayas, ¡hay un desorden dimensional en la consola de DOS!",,Älä mene nyt; DOS-kehotteella väijyy hirviö toisesta ulottuvuudesta!,"Ne partez pas maintenant, il y a un 
monstre interdimensionnel qui
dans attend dans votre OS!","Ne menj most, egy dimenzió forgató 
vár a DOS parancssornál!","Non andartene adesso, c'è un
portale dimensionale che ti aspetta
al prompt del DOS!","まだやめたらダメだ、
あの空鬼がデスクトップには
待ち構えているんだぞ!","나가지 말아줘, 지금 차원을 넘나드는 쉠블러가 DOS 프롬프트에서 기다리고 있거든!","Ga nu niet weg, er wacht een dimensionale schuifelaar op de DOS prompt!","Nie idź jeszcze, stworzenie
z innego świata na ciebie czyha w DOSie!","Não saia agora, tem um shambler
de outra dimensão esperando 
no prompt do DOS!","Não saias agora, há um
monstro de outra dimensão à tua
espera no sistema operativo!","Nu pleca acum, e un monstru interdimensional care
te așteaptă la promptul DOS!","Не уходи! Тут межпространственный
бродяга поджидает в
командной строке!","Немој да одеш!
Међудимензионално чудовиште
чека код DOS промпта!"
"Get outta here and go back
to your boring programs.",QUITMSG10,,,,"Vypadni odsud a vrať se
ke svým nudným programům.","Dann geh doch zurück
zu deinen langweiligen Programmen",Βγές απο'δω και πήγαινε πίσω στα βαρετά προγράματα σου.,"Ekiru el ĉi tie kaj reiru al
viaj enuaj programoj.",Vete de aquí y vuelve a tus aburridos programas.,,Ala laputtaa takaisin tylsien ohjelmiesi pariin.,"Tirez vous de là et retournez
à vos programmes ennuyeux.","Sicc innen és menj vissza az 
unalmas programjaidhoz.","Vai fuori di qui e torna
ai tuoi noiosi programmi.","早く出ていって、いつものつまらない
プログラムに戻るんだな。",당장 나가버리고 너의 후진 프로그램들이나 만지작거리시지.,Ga hier weg en terug naar je saaie programma's.,"Wynoś się stąd i wracaj do
swoich nudnych programów.","Se manda daqui e volte para
os seus programas chatos.","Desaparece daqui e volta
para os teus programas chatos.","Cară-te de aici și întoarce-te la programele tale
plictisitoare.","Вот и убирайся отсюда к
своим скучным программам.","Губи се одавде
својим досадним програмима."
